author,id,link,title
/jami,96,https://ganjoor.net//jami,جامی
/jarooni,97,https://ganjoor.net//jarooni,سلیمی جرونی
/fani,98,https://ganjoor.net//fani,امیرعلیشیر نوایی
/asiri,99,https://ganjoor.net//asiri,اسیری لاهیجی
/ahli,100,https://ganjoor.net//ahli,اهلی شیرازی
/shahedi,101,https://ganjoor.net//shahedi,ابراهیم شاهدی دده
/faghani,102,https://ganjoor.net//faghani,بابافغانی شیرازی
/helali,103,https://ganjoor.net//helali,هلالی جغتایی
/fozooli,104,https://ganjoor.net//fozooli,فضولی بغدادی
/mohtasham,105,https://ganjoor.net//mohtasham,محتشم کاشانی
/vahshi,106,https://ganjoor.net//vahshi,وحشی بافقی
/bahaee,107,https://ganjoor.net//bahaee,شیخ بهایی
/razi,108,https://ganjoor.net//razi,رضی‌الدین آرتیمانی
/naziri,109,https://ganjoor.net//naziri,نظیری نیشابوری
/orfi,110,https://ganjoor.net//orfi,عرفی شیرازی
/nouee,111,https://ganjoor.net//nouee,نوعی خبوشانی
/kalim,112,https://ganjoor.net//kalim,کلیم
/masih,113,https://ganjoor.net//masih,ملا مسیح پانی‌پتی
/abolhasan,114,https://ganjoor.net//abolhasan,ابوالحسن فراهانی
/salim,115,https://ganjoor.net//salim,سلیم تهرانی
/ghodsi,116,https://ganjoor.net//ghodsi,قدسی مشهدی
/saeb,117,https://ganjoor.net//saeb,صائب تبریزی
/feyz,118,https://ganjoor.net//feyz,فیض کاشانی
/vaez,119,https://ganjoor.net//vaez,واعظ قزوینی
/shahrestani,120,https://ganjoor.net//shahrestani,اسیر شهرستانی
/bahoo,121,https://ganjoor.net//bahoo,سلطان باهو
/jooya,122,https://ganjoor.net//jooya,جویای تبریزی
/bidel,123,https://ganjoor.net//bidel,بیدل دهلوی
/hatef,124,https://ganjoor.net//hatef,هاتف اصفهانی
/ghassab,125,https://ganjoor.net//ghassab,قصاب کاشانی
/moshtagh,126,https://ganjoor.net//moshtagh,مشتاق اصفهانی
/hazin,127,https://ganjoor.net//hazin,حزین لاهیجی
/saeeda,128,https://ganjoor.net//saeeda,سعیدا
/tabib,129,https://ganjoor.net//tabib,طبیب اصفهانی
/azar,130,https://ganjoor.net//azar,آذر بیگدلی
/neshat,131,https://ganjoor.net//neshat,نشاط اصفهانی
/sahab,132,https://ganjoor.net//sahab,سحاب اصفهانی
/naraghi,133,https://ganjoor.net//naraghi,ملا احمد نراقی
/ghaemmagham,134,https://ganjoor.net//ghaemmagham,قائم مقام فراهانی
/khaled,135,https://ganjoor.net//khaled,خالد نقشبندی
/rashhe,136,https://ganjoor.net//rashhe,رشحه
/ashofte,137,https://ganjoor.net//ashofte,آشفتهٔ شیرازی
/ghaleb,138,https://ganjoor.net//ghaleb,غالب دهلوی
/asrar,139,https://ganjoor.net//asrar,حکیم سبزواری
/forooghi,140,https://ganjoor.net//forooghi,فروغی بسطامی
/rhedayat,141,https://ganjoor.net//rhedayat,رضاقلی خان هدایت
/ghaani,142,https://ganjoor.net//ghaani,قاآنی
/vahdat,143,https://ganjoor.net//vahdat,وحدت کرمانشاهی
/nayyer,144,https://ganjoor.net//nayyer,نیر تبریزی
/mohit,145,https://ganjoor.net//mohit,محیط قمی
/fayez,146,https://ganjoor.net//fayez,فایز
/omman,147,https://ganjoor.net//omman,عمان سامانی
/samet,148,https://ganjoor.net//samet,صامت بروجردی
/elhami,149,https://ganjoor.net//elhami,الهامی کرمانشاهی
/ghobar,150,https://ganjoor.net//ghobar,غبار همدانی
/safa,151,https://ganjoor.net//safa,صفای اصفهانی
/aghakhan,152,https://ganjoor.net//aghakhan,میرزا آقاخان کرمانی
/shater,153,https://ganjoor.net//shater,شاطرعباس صبوحی
/adib,154,https://ganjoor.net//adib,ادیب الممالک فراهانی
/toghrol,155,https://ganjoor.net//toghrol,طغرل احراری
/iqbal,156,https://ganjoor.net//iqbal,اقبال لاهوری
/iraj,157,https://ganjoor.net//iraj,ایرج میرزا
/moftagher,158,https://ganjoor.net//moftagher,محمدحسین غروی اصفهانی
/aref,159,https://ganjoor.net//aref,عارف قزوینی
/bahar,160,https://ganjoor.net//bahar,ملک‌الشعرا بهار
/yazdi,161,https://ganjoor.net//yazdi,فرخی یزدی
/afsar,162,https://ganjoor.net//afsar,افسرالملوک عاملی
/eshghi,163,https://ganjoor.net//eshghi,میرزاده عشقی
/shahriar,164,https://ganjoor.net//shahriar,شهریار
/parvin,165,https://ganjoor.net//parvin,پروین اعتصامی
/khalili,166,https://ganjoor.net//khalili,خلیل‌الله خلیلی
/rahi,167,https://ganjoor.net//rahi,رهی معیری
