title,link
به همت وبگاه گنجینهٔ فارسی,https://ganjoor.net/https://ganjinefarsi.com/Library?bid=3281
سفرنامه منظوم بلخ/ قاضی حمیدالدین عمر‏بن محمود بلخی؛ مصحح: سید عباس رستاخیز؛ مقدمه: سید علی نقی میرحسینی ,https://ganjoor.net/https://www.ical.ir/ical/fa/Content/4_artmajles1/%D8%B3%D9%81%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%85%D9%86%D8%B8%D9%88%D9%85-%D8%A8%D9%84%D8%AE-%D9%82%D8%A7%D8%B6%DB%8C-%D8%AD%D9%85%DB%8C%D8%AF%D8%A7%D9%84%D8%AF%DB%8C%D9%86-%D8%B9%D9%85%D8%B1%D8%A8%D9%86-%D9%85%D8%AD%D9%85%D9%88%D8%AF-%D8%A8%D9%84%D8%AE%DB%8C-%D9%85%D8%B5%D8%AD%D8%AD-%D8%B3%DB%8C%D8%AF-%D8%B9%D8%A8%D8%A7%D8%B3-%D8%B1%D8%B3%D8%AA%D8%A7%D8%AE%DB%8C%D8%B2-%D9%85%D9%82%D8%AF%D9%85%D9%87-%D8%B3%DB%8C%D8%AF-%D8%B9%D9%84%DB%8C-%D9%86%D9%82%DB%8C-%D9%85%DB%8C%D8%B1%D8%AD%D8%B3%DB%8C%D9%86%DB%8C1988
مقامات حمیدی,https://ganjoor.net//hamid/maghamat
سفرنامهٔ منظوم,https://ganjoor.net//hamid/safarname
