title,link
دیوان اشعار,https://ganjoor.net//attar/divana/
منطق‌الطیر,https://ganjoor.net//attar/manteghotteyr/
تذکرة الأولیاء,https://ganjoor.net//attar/tazkerat-ol-ouliya/
الهی نامه,https://ganjoor.net//attar/elahiname/
بلبل نامه,https://ganjoor.net//attar/bolbolname/
اسرارنامه,https://ganjoor.net//attar/asrarname/
خسرونامه,https://ganjoor.net//attar/khosroname/
مختارنامه (رباعیات),https://ganjoor.net//attar/mokhtarname/
سی فصل,https://ganjoor.net//attar/30fasl/
بیان الارشاد,https://ganjoor.net//attar/bayanolershad/
بی‌سرنامه,https://ganjoor.net//attar/bisarname/
هیلاج نامه,https://ganjoor.net//attar/hylajname/
مظهر,https://ganjoor.net//attar/mazhar/
جوهرالذات,https://ganjoor.net//attar/jz/
مظهرالعجایب,https://ganjoor.net//attar/ma/
مصیبت نامه,https://ganjoor.net//attar/mosibatname/
وصلت نامه,https://ganjoor.net//attar/vaslatname/
نزهت الاحباب,https://ganjoor.net//attar/na/
پندنامه,https://ganjoor.net//attar/pandname/
اشترنامه,https://ganjoor.net//attar/oshtorname/
فتوت نامه,https://ganjoor.net//attar/fn/
