title,link
قصاید,https://ganjoor.net//bahar/ghasidebk/
غزلیات,https://ganjoor.net//bahar/ghazalbk/
قطعات,https://ganjoor.net//bahar/ghetebk/
مثنویات,https://ganjoor.net//bahar/masnavibk/
مسمطات,https://ganjoor.net//bahar/mosammatbk/
ترکیبات,https://ganjoor.net//bahar/tarkibbk/
ترجیعات,https://ganjoor.net//bahar/tarjeebk/
مستزادها,https://ganjoor.net//bahar/mostazadbk/
چهارپاره‌ها,https://ganjoor.net//bahar/4parebk/
رباعیات,https://ganjoor.net//bahar/robaeebk/
منظومه‌ها,https://ganjoor.net//bahar/manzoomebk/
اشعار محلی,https://ganjoor.net//bahar/mahalibk/
تصنیفها,https://ganjoor.net//bahar/tasnifbk/
گزیدهٔ اشعار,https://ganjoor.net//bahar/divanb/
