title,link
تاریخ احوال,https://ganjoor.net/https://dlib.ical.ir/faces/search/bibliographic/biblioFullView.jspx?_afPfm=-a7219bx0p
بازبینی متن استخراج شده از کتاب چاپی,https://ganjoor.net/http://blog.ganjoor.net/1389/03/17/vganjoornet/
قصاید,https://ganjoor.net//hazin/ghaside-hz/
غزلیات,https://ganjoor.net//hazin/ghazal-hz/
قطعات,https://ganjoor.net//hazin/ghete-hz/
رباعیات,https://ganjoor.net//hazin/robaee-hz/
غزلیات ناتمام,https://ganjoor.net//hazin/ghazal-natamam-hz/
اشعار عربی,https://ganjoor.net//hazin/arabi-hz/
مثنویات,https://ganjoor.net//hazin/manavi-hz/
ترکیب بند در مرثیهٔ حضرت سید الشهدا (ع),https://ganjoor.net//hazin/tarkib-band-mar30ye/
