title,link
افتتاح ریاض الشهاده (دیوان صامت),https://ganjoor.net//samet/eftetah/
قصاید,https://ganjoor.net//samet/ghasayedsmt/
غزلیات,https://ganjoor.net//samet/ghazalsmt/
کتاب الروایات و المصائب,https://ganjoor.net//samet/revayat-val-masaeb/
کتاب المراثی و المصائب,https://ganjoor.net//samet/marasi-val-masaeb/
اشعار مصیبت,https://ganjoor.net//samet/ashaar-e-mosibat/
کتاب التضمین و المصائب,https://ganjoor.net//samet/tazmin-val-masaeb/
کتاب النصایح و التنبیه,https://ganjoor.net//samet/nasaye-vat-tanbih/
کتاب القطعات و النصایح,https://ganjoor.net//samet/ghataat-va-nasayeh/
کتاب المناجات با قاضی الحاجات,https://ganjoor.net//samet/monajat-ba-ghaziyolhajat/
کتاب المواد و التاریخ,https://ganjoor.net//samet/mavad-vat-tarikh/
کتاب نوحه‌های سینه زنی (به اقسام مختلفه و لحنهای متنوع و مخصوصه),https://ganjoor.net//samet/nowhe/
مختصری از اشعار افصح الشعراء (میرزا حاجب بروجردی),https://ganjoor.net//samet/hajeb-boroojerdi/
