title,link
سایت تصوف ایرانی,https://ganjoor.net/http://www.sufi.ws
توضیحات بیشتر,https://ganjoor.net/http://blog.ganjoor.net/1389/12/03/shah-nematollah/
قصاید,https://ganjoor.net//shahnematollah/ghasidesh/
غزلیات,https://ganjoor.net//shahnematollah/ghazalshv/
ترجیعات,https://ganjoor.net//shahnematollah/tarjeesh/
قطعات,https://ganjoor.net//shahnematollah/ghetesh/
مثنویات,https://ganjoor.net//shahnematollah/masnavish/
رباعیات,https://ganjoor.net//shahnematollah/robaeeshv/
دوبیتی‌ها,https://ganjoor.net//shahnematollah/dobeytihash/
متفرقات,https://ganjoor.net//shahnematollah/motsh/
مفردات,https://ganjoor.net//shahnematollah/mofradatsh/
