title,link
ویکیپدیای فارسی ذیل رشحه,https://ganjoor.net/http://fa.wikipedia.org/wiki/%D8%B1%D8%B4%D8%AD%D9%87
غزل - ماهم اگر به قهر شد از لطف بازگشت ...,https://ganjoor.net//rashhe/sh8/
غزل - آمد هزار تیر تو بر جسم چاک چاک ...,https://ganjoor.net//rashhe/sh20/
غزل - جفا و جور تو عمری بدین امید کشیدم ...,https://ganjoor.net//rashhe/sh23/
غزل - چه شود اگر که بری ز دل همه دردهای نهانیم ...,https://ganjoor.net//rashhe/sh25/
رباعی - ای از لب تو به خون رخ لعل خضاب ...,https://ganjoor.net//rashhe/sh5/
ش,https://ganjoor.net/#sh
ا,https://ganjoor.net/#a
ب,https://ganjoor.net/#b
ت,https://ganjoor.net/#t
د,https://ganjoor.net/#d
ر,https://ganjoor.net/#r
ش,https://ganjoor.net/#sh
ک,https://ganjoor.net/#k
م,https://ganjoor.net/#m
ه,https://ganjoor.net/#h
ی,https://ganjoor.net/#y
از یک قصیده,https://ganjoor.net//rashhe/sh1/
مطلع یک غزل,https://ganjoor.net//rashhe/sh2/
مطلع یک غزل,https://ganjoor.net//rashhe/sh3/
نا مشخص,https://ganjoor.net//rashhe/sh4/
رباعی,https://ganjoor.net//rashhe/sh5/
مطلع یک غزل,https://ganjoor.net//rashhe/sh6/
مطلع یک غزل,https://ganjoor.net//rashhe/sh7/
غزل,https://ganjoor.net//rashhe/sh8/
مطلع یک غزل,https://ganjoor.net//rashhe/sh9/
مطلع یک غزل,https://ganjoor.net//rashhe/sh10/
مطلع یک غزل,https://ganjoor.net//rashhe/sh11/
از یک غزل,https://ganjoor.net//rashhe/sh12/
از یک غزل,https://ganjoor.net//rashhe/sh13/
از یک غزل,https://ganjoor.net//rashhe/sh14/
از یک قصیده,https://ganjoor.net//rashhe/sh15/
از یک قصیده,https://ganjoor.net//rashhe/sh16/
مطلع یک غزل,https://ganjoor.net//rashhe/sh17/
مطلع یک غزل,https://ganjoor.net//rashhe/sh18/
مطلع یک غزل,https://ganjoor.net//rashhe/sh19/
غزل,https://ganjoor.net//rashhe/sh20/
از یک غزل,https://ganjoor.net//rashhe/sh21/
از یک قصیده,https://ganjoor.net//rashhe/sh22/
غزل,https://ganjoor.net//rashhe/sh23/
از یک غزل,https://ganjoor.net//rashhe/sh24/
غزل,https://ganjoor.net//rashhe/sh25/
نامشخص,https://ganjoor.net//rashhe/sh26/
نامشخص,https://ganjoor.net//rashhe/sh27/
نامشخص,https://ganjoor.net//rashhe/sh28/
نامشخص,https://ganjoor.net//rashhe/sh29/
